prediction,time
sad,1745596010
sad,1745596010
sad,1745596010
sad,1745596010
sad,1745596010
sad,1745596010
sad,1745596011
neutral,1745596011
sad,1745596011
neutral,1745596011
sad,1745596011
neutral,1745596012
neutral,1745596012
neutral,1745596012
sad,1745596012
neutral,1745596012
neutral,1745596012
neutral,1745596013
neutral,1745596013
neutral,1745596013
neutral,1745596013
neutral,1745596013
neutral,1745596013
neutral,1745596014
neutral,1745596014
neutral,1745596014
neutral,1745596014
neutral,1745596014
neutral,1745596014
neutral,1745596015
neutral,1745596015
neutral,1745596015
neutral,1745596015
neutral,1745596015
neutral,1745596016
neutral,1745596016
neutral,1745596016
neutral,1745596195
neutral,1745596195
neutral,1745596196
neutral,1745596196
neutral,1745596196
neutral,1745596196
neutral,1745596196
neutral,1745596196
neutral,1745596197
neutral,1745596197
neutral,1745596197
neutral,1745596197
neutral,1745596197
neutral,1745596197
neutral,1745596198
neutral,1745596198
neutral,1745596198
neutral,1745596198
neutral,1745596198
neutral,1745596198
neutral,1745596199
neutral,1745596199
neutral,1745596199
neutral,1745596199
neutral,1745596199
neutral,1745596199
neutral,1745596200
neutral,1745596200
neutral,1745596200
neutral,1745596200
neutral,1745596200
neutral,1745596201
neutral,1745596201
neutral,1745596201
neutral,1745596201
neutral,1745596201
neutral,1745596201
neutral,1745596202
neutral,1745596202
neutral,1745596202
neutral,1745596202
neutral,1745596202
neutral,1745596203
neutral,1745596203
neutral,1745596203
neutral,1745596203
neutral,1745596203
neutral,1745596203
neutral,1745596204
neutral,1745596204
neutral,1745596204
neutral,1745596204
neutral,1745596204
neutral,1745596205
neutral,1745596205
sad,1745596205
neutral,1745596205
neutral,1745596205
neutral,1745596205
neutral,1745596206
neutral,1745596206
neutral,1745596206
neutral,1745596206
neutral,1745596206
neutral,1745596207
neutral,1745596207
sad,1745596207
sad,1745596207
sad,1745596207
sad,1745596208
sad,1745596208
sad,1745596208
neutral,1745596208
sad,1745596208
neutral,1745596208
sad,1745596208
neutral,1745678994
neutral,1745678994
neutral,1745678994
neutral,1745678994
neutral,1745678994
neutral,1745678995
neutral,1745678995
neutral,1745678995
neutral,1745678995
neutral,1745678995
neutral,1745678996
neutral,1745678996
neutral,1745678996
neutral,1745678996
neutral,1745678996
neutral,1745678997
neutral,1745678997
neutral,1745678997
neutral,1745678997
neutral,1745678997
neutral,1745678997
neutral,1745678998
neutral,1745678998
neutral,1745678998
neutral,1745678998
neutral,1745678998
neutral,1745678999
neutral,1745678999
neutral,1745678999
neutral,1745678999
neutral,1745678999
neutral,1745679000
neutral,1745679000
neutral,1745679000
neutral,1745679000
neutral,1745679000
neutral,1745679001
neutral,1745679001
neutral,1745679001
neutral,1745679001
neutral,1745679001
neutral,1745679001
neutral,1745679002
neutral,1745679002
neutral,1745679002
neutral,1745679002
neutral,1745679002
neutral,1745679003
neutral,1745679003
neutral,1745679003
neutral,1745679003
neutral,1745679003
neutral,1745679004
neutral,1745679004
neutral,1745679004
neutral,1745679004
neutral,1745679004
neutral,1745679005
neutral,1745679005
neutral,1745679005
neutral,1745679005
neutral,1745679005
neutral,1745679005
neutral,1745679006
neutral,1745679006
neutral,1745679006
neutral,1745679006
neutral,1745679006
neutral,1745679007
neutral,1745679007
neutral,1745679007
neutral,1745679007
neutral,1745679007
neutral,1745679008
neutral,1745679008
neutral,1745679008
neutral,1745679008
neutral,1745679008
neutral,1745679009
neutral,1745679009
neutral,1745679009
neutral,1745679009
neutral,1745679009
neutral,1745679009
neutral,1745679010
neutral,1745679010
happy,1745679010
neutral,1745679010
happy,1745679010
happy,1745679011
happy,1745679011
happy,1745679011
happy,1745679011
happy,1745679011
happy,1745679012
neutral,1745679012
neutral,1745679012
neutral,1745679012
neutral,1745679012
neutral,1745679013
neutral,1745679013
neutral,1745679013
neutral,1745679013
neutral,1745679013
neutral,1745679013
neutral,1745679014
neutral,1745679014
neutral,1745679014
neutral,1745679014
neutral,1745679014
neutral,1745679015
neutral,1745679015
neutral,1745679015
neutral,1745679015
neutral,1745679016
neutral,1745679016
neutral,1745679016
neutral,1745679016
neutral,1745679016
neutral,1745679016
neutral,1745679017
neutral,1745679017
neutral,1745679017
neutral,1745679017
neutral,1745679017
neutral,1745679018
neutral,1745679021
neutral,1745679021
neutral,1745679022
neutral,1745679022
neutral,1745679022
neutral,1745679022
neutral,1745679022
neutral,1745679022
neutral,1745679023
neutral,1745679023
neutral,1745679023
neutral,1745679023
neutral,1745679023
neutral,1745679023
neutral,1745679024
neutral,1745679024
neutral,1745679024
neutral,1745679024
neutral,1745679024
neutral,1745679024
neutral,1745679025
neutral,1745679025
neutral,1745679025
neutral,1745679025
neutral,1745679025
neutral,1745679026
neutral,1745679026
neutral,1745679026
neutral,1745679026
neutral,1745679026
neutral,1745679026
neutral,1745679027
neutral,1745679027
neutral,1745679027
neutral,1745679027
neutral,1745679027
neutral,1745679028
neutral,1745679028
neutral,1745679028
neutral,1745679028
neutral,1745679028
neutral,1745679028
neutral,1745679029
neutral,1745679029
neutral,1745679029
neutral,1745679029
neutral,1745679029
neutral,1745679030
neutral,1745679030
neutral,1745679030
neutral,1745679030
neutral,1745679030
neutral,1745679031
